BAW2890,EGLL,LOWI,A319,15:15,,508,,,
RJA5112,EGLL,OJAI,A319,15:15,,323,,,
QTR08L,EGLL,OTHH,B77L,15:10,,564,,,
BAW287,EGLL,KSFO,B789,15:10,,533,,,
BAW792,EGLL,ESGG,A21N,15:10,,523,,,
BAW998,EGLL,EDDB,A320,15:10,,507,,,
BAW398R,EGLL,EBBR,A319,15:05,,592,,,
SHT12N,EGLL,EGNT,A20N,15:05,,522,,,
BAW2650,EGLL,LATI,A320,15:05,,303L,,,
BAW312,EGLL,OJAI,A20N,15:00,,545L,,,
BAW966H,EGLL,EDDH,A320,15:00,,515,,,
ACA857,EGLL,CYYZ,B789,15:00,,236,,,
EIN9KN,EGLL,EGAC,A320,15:00,,221L,,,
BAW568J,EGLL,LIML,A319,14:55,,509,,,
VIR103M,EGLL,KATL,A35K,14:55,,322,,,
BAW297,EGLL,KORD,B788,14:45,,537,,,
BAW462,EGLL,LEMD,A320,14:45,,513,,,
AAL51,EGLL,KDFW,B77W,14:45,,332,,,
AFR53JV,EGLL,LFPG,A321,14:45,,303R,,,
BAW7TG,EGLL,KATL,B789,14:40,,539,,,
BAW856Z,EGLL,LKPR,A320,14:40,,311,,,
BAW277,EGLL,VOHS,B788,14:35,,575,,,
CES7010,EGLL,ZSPD,A332,14:35,,408,,,
UAL937,EGLL,KORD,B763,14:35,,247,,,
BAW49,EGLL,KSEA,B789,14:30,,591,,,
BAW884,EGLL,LROP,A320,14:30,,512,,,
DAL4,EGLL,KJFK,B764,14:30,,334,,,
ACA861,EGLL,CYVR,B789,14:30,,233,,,
SWR31H,EGLL,LSGG,BCS3,14:25,,217,,,
SHT18F,EGLL,EGPD,A21N,14:20,,568,,,
BAW818,EGLL,EKCH,A320,14:20,,518,,,
ELY316,EGLL,LLBG,B789,14:20,,238,,,
BAW263,EGLL,OERK,B772,14:15,,590,,,
BAW209,EGLL,KMIA,A388,14:15,,562,,,
BAW9CG,EGLL,KPHX,B772,14:15,,553,,,
EIN715,EGLL,EICK,A320,14:15,,221R,,,
EIN38W,EGLL,EINN,A21N,14:15,,221L,,,
SHT8A,EGLL,EGPH,A319,14:10,,517,,,
BAW866H,EGLL,LHBP,A320,14:10,,328,,,
VIR23J,EGLL,KLAX,B789,14:10,,313,,,
TVS4BD,EGLL,LKPR,B737,14:10,,218L,,,
QTR004,EGLL,OTHH,A388,14:05,,565,,,
JAL8044,EGLL,RJBB,B788,14:05,,326,,,
KLM80F,EGLL,EHAM,B737,14:05,,309,,,
DAH2055,EGLL,DAAG,B738,14:05,,225,,,
BAW9604,EGLL,TBPB,B772,14:00,,558,,,
BAW15K,EGLL,KJFK,B77W,14:00,,543,,,
MSR778,EGLL,HECA,B789,14:00,,248,,,
SWR30K,EGLL,LSZH,A343,14:00,,231,,,
SEH7LH,EGLL,LGAV,A20N,14:00,,226,,,
JBU20,EGLL,KJFK,A21N,13:55,,241,,,
SZS532,EGLL,ESSA,A20N,13:55,,224,,,
AUA4GM,EGLL,LOWW,A321,13:55,,219,,,
BAW67V,EGLL,KPHL,B789,13:50,,576,,,
BAW410,EGLL,LEVC,A320,13:50,,515,,,
DLH1XU,EGLL,EDDM,A20N,13:50,,216,,,
BAW119,EGLL,VOBL,A35K,13:45,,561,,,
UAL4,EGLL,KIAH,B789,13:45,,242,,,
BAW2760,EGLL,EHAM,A319,13:40,,532,,,
BAW84DM,EGLL,EIDW,A319,13:40,,525,,,
UAE2,EGLL,OMDB,A388,13:40,,307,,,
TAP1359,EGLL,LPPT,A20N,13:40,,217,,,
IRA710,EGLL,OIIE,A332,13:35,,329,,,
UAL900,EGLL,KSFO,B789,13:35,,246,,,
BAW223N,EGLL,KBNA,B788,13:30,,547,,,
CSN8080,EGLL,ZGGG,A333,13:30,,409,,,
AIC178,EGLL,VOBL,B788,13:30,,244,,,
AFL2579,EGLL,UUEE,A333,13:30,,239,,,
BAW81,EGLL,DGAA,B772,13:25,,544,,,
BAW99M,EGLL,LOWI,A319,13:25,,520,,,
BAW27JR,EGLL,EGJJ,A319,13:20,,527,,,
BAW780F,EGLL,ESSA,A320,13:20,,521,,,
ASL42V,EGLL,LYBE,A319,13:20,,220,,,
BAW48G,EGLL,LDZA,A320,13:15,,351,,,
BAW2654,EGLL,LOWS,A319,13:10,,567,,,
BAW44N,EGLL,KSAN,B789,13:10,,535,,,
AAL155,EGLL,KSEA,B772,13:10,,318,,,
BAW594R,EGLL,LIPZ,A320,13:05,,517,,,
BAW560F,EGLL,LIRF,A320,13:05,,502,,,
RBA4,EGLL,WBSB,B788,13:05,,330,,,
CHH440,EGLL,ZSPD,B789,13:05,,251,,,
SHT96HD,EGLL,EGAC,A20N,13:00,,519,,,
BAW14R,EGLL,LSZH,A319,13:00,,518,,,
BAW368,EGLL,LFML,A320,13:00,,355,,,
ACA865,EGLL,CYUL,A333,13:00,,247,,,
AIC130,EGLL,VABB,B788,13:00,,243,,,
BAW358,EGLL,LFLL,A320,12:55,,505,,,
VIR250,EGLL,ZSPD,B789,12:50,,303,,,
BAW702E,EGLL,LOWW,A320,12:50,,301,,,
BAW243,EGLL,MMMX,B789,12:45,,566,,,
BAW2702,EGLL,GCTS,A20N,12:45,,511,,,
VIR137Y,EGLL,KJFK,A35K,12:45,,336,,,
BAW4RE,EGLL,LXGB,A320,12:45,,331,,,
BAW766,EGLL,ENGM,A319,12:40,,506,,,
QTR8839,EGLL,LFLL,A332,12:40,,364,,,
AAL729,EGLL,KPHL,B772,12:35,,323,,,
VIR19Z,EGLL,KSFO,B789,12:35,,317,,,
CCA580,EGLL,ZBAA,A333,12:35,,213,,,
BAW281,EGLL,KLAX,B77W,12:30,,534,,,
SHT18C,EGLL,EGPD,A21N,12:30,,519,,,
BAW682Z,EGLL,LOWS,A320,12:30,,515,,,
BAW32T,EGLL,LGAV,A320,12:30,,513,,,
BAW344N,EGLL,LFMN,A320,12:30,,512,,,
BAW107,EGLL,OMDB,A388,12:25,,564,,,
TAP1367,EGLL,LPPT,A21N,12:25,,218L,,,
ETD20,EGLL,OMAA,B78X,12:20,,334,,,
BAW31F,EGLL,KDFW,B78X,12:15,,555,,,
ICE451,EGLL,BIKF,B763,12:15,,238,,,
AEE601,EGLL,LGAV,A21N,12:15,,224,,,
EIN159,EGLL,EIDW,A21N,12:15,,221R,,,
BAW2644,EGLL,LMML,A320,12:10,,502,,,
BAW952M,EGLL,EDDM,A320,12:10,,501,,,
MEA202,EGLL,OLBA,A332,12:10,,335,,,
BAW205,EGLL,KMCO,B772,12:05,,557,,,
AAL57,EGLL,KMIA,B77W,12:05,,340,,,
VIR302,EGLL,VIDP,B789,12:05,,318,,,
UAL919,EGLL,KIAD,B763,12:05,,231,,,
UAL17,EGLL,KEWR,B763,12:00,,248,,,
ACA851,EGLL,CYYC,B789,12:00,,239,,,
BAW201,EGLL,TLPL,B772,11:55,,531,,,
LOG71Y,EGLL,EGNV,E145,11:55,,225,,,
BAW7W,EGLL,KIAD,B789,11:50,,532,,,
BAW518,EGLL,LPPT,A21N,11:50,,508,,,
BAW7GV,EGLL,LSGG,A320,11:50,,502,,,
AAL731,EGLL,KCLT,B772,11:50,,326,,,
THA911,EGLL,VTBS,B77W,11:50,,244,,,
BCS6717,EGLL,EDDF,A306,11:45,,615,,,
CJT980,EGLL,CYHM,B763,11:45,,614,,,
BAW9L,EGLL,CYYZ,B788,11:45,,553,,,
KLM1010,EGLL,EHAM,B738,11:45,,329,,,
BAW2784,EGLL,LPMA,A20N,11:40,,520,,,
VIR91,EGLL,KMCO,A333,11:40,,342,,,
BAW219V,EGLL,KDEN,B789,11:35,,573,,,
SHT8G,EGLL,EGPH,A20N,11:35,,522,,,
BAW2756,EGLL,LFLS,A319,11:35,,509,,,
VIR155M,EGLL,KLAS,B789,11:30,,316,,,
AFR84AD,EGLL,LFPG,A319,11:30,,309,,,
THY8HU,EGLL,LTFM,B77W,11:30,,243,,,
DLH1JT,EGLL,EDDF,A20N,11:30,,216,,,
CCA692,EGLL,ZUUU,A333,11:30,,211,,,
BAW151,EGLL,TAPA,B772,11:25,,547,,,
BAW173A,EGLL,KJFK,B772,11:25,,539,,,
IBE31FC,EGLL,LEMD,A321,11:25,,521,,,
AMC101,EGLL,LMML,A20N,11:25,,226,,,
BAW13G,EGLL,KBOS,B788,11:20,,563,,,
QFA10,EGLL,YPDN,B789,11:20,,334,,,
BAW143,EGLL,VIDP,B788,11:15,,548,,,
BAW2798,EGLL,LEZL,A320,11:15,,357L,,,
VIR354,EGLL,VABB,B789,11:15,,320,,,
VIR131,EGLL,TBPB,A333,11:15,,305,,,
CPA252,EGLL,VHHH,A35K,11:15,,301,,,
BAW2752,EGLL,LSGG,A319,11:10,,527,,,
ACA855,EGLL,CYYZ,B77W,11:10,,242,,,
DLH5XA,EGLL,EDDM,A21N,11:10,,217,,,
BAW295,EGLL,KORD,B789,11:05,,537,,,
BEL2094,EGLL,EBBR,A320,11:05,,220,,,
