13 31 129 309 N058.27.44.520 W003.06.07.610 N058.27.19.630 W003.05.04.530 EGPC Wick
16 34 159 339 N057.12.38.050 W002.12.15.010 N057.11.39.430 W002.11.31.740 EGPD Aberdeen
05 23 051 231 N057.32.14.550 W004.03.31.240 N057.32.52.810 W004.02.08.050 EGPE Inverness
11 29 112 292 N057.32.40.710 W004.03.35.530 N057.32.33.090 W004.02.55.720 EGPE Inverness
05 23 048 228 N055.51.48.530 W004.26.56.590 N055.52.41.070 W004.25.18.430 EGPF Glasgow
06 24 060 240 N055.56.41.990 W003.23.13.900 N055.57.17.660 W003.21.28.660 EGPH Edinburgh
08 26 073 253 N055.40.56.860 W006.15.31.720 N055.41.03.080 W006.15.00.630 EGPI Islay
13 31 123 303 N055.41.10.830 W006.16.05.990 N055.40.49.830 W006.15.03.830 EGPI Islay
03 21 025 205 N055.29.18.170 W004.35.14.610 N055.30.12.190 W004.34.32.760 EGPK Prestwick
12 30 123 303 N055.30.54.820 W004.36.41.310 N055.30.08.680 W004.34.37.830 EGPK Prestwick
06 24 055 235 N057.28.37.280 W007.22.25.090 N057.29.08.720 W007.21.00.270 EGPL Benbecula
17 35 167 347 N057.29.13.010 W007.21.56.780 N057.28.35.180 W007.21.40.600 EGPL Benbecula
06 24 055 235 N060.25.47.150 W001.18.16.350 N060.26.08.050 W001.17.15.280 EGPM Scatsta
09 27 090 270 N056.27.08.880 W003.02.13.850 N056.27.08.470 W003.00.52.100 EGPN Dundee
06 24 063 243 N058.12.42.810 W006.20.12.820 N058.12.59.020 W006.19.19.880 EGPO Stornoway
18 36 177 357 N058.13.27.770 W006.19.57.850 N058.12.20.650 W006.19.45.100 EGPO Stornoway
07 25 069 249 N057.01.29.010 W007.26.48.430 N057.01.39.480 W007.26.05.170 EGPR Barra
11 29 104 284 N057.01.28.670 W007.26.54.000 N057.01.25.300 W007.26.21.240 EGPR Barra
15 33 143 323 N057.01.31.180 W007.26.49.380 N057.01.13.320 W007.26.21.390 EGPR Barra
03 21 030 210 N056.26.15.910 W003.22.37.880 N056.26.40.190 W003.22.14.240 EGPT Perth/Scone
09 27 090 270 N056.26.15.460 W003.32.28.780 N056.26.15.910 W003.22.01.600 EGPT Perth/Scone
15 33 151 331 N056.26.32.470 W003.22.15.160 N056.26.15.130 W003.21.56.710 EGPT Perth/Scone
05 23 050 230 N056.29.40.960 W006.52.40.330 N056.30.10.890 W006.51.42.100 EGPU Tiree
11 29 110 290 N056.30.07.770 W006.52.45.480 N056.30.00.100 W006.52.00.310 EGPU Tiree
07 25 073 253 N057.38.45.370 W003.34.44.010 N057.39.10.360 W003.32.32.230 EGQK Kinloss
04 22 038 218 N056.22.16.480 W002.52.21.100 N056.22.49.590 W002.51.36.540 EGQL Leuchars
08 26 083 263 N056.22.24.240 W002.52.38.410 N056.22.34.960 W002.50.24.810 EGQL Leuchars
05 23 049 229 N052.12.02.120 E000.09.59.150 N052.12.35.550 E000.11.03.830 EGSC Cambridge
09 27 090 270 N052.40.32.990 E001.16.08.590 N052.40.33.730 E001.17.46.580 EGSH Norwich
04 22 042 222 N051.52.37.340 E000.13.22.300 N051.53.42.570 E000.15.00.160 EGSS London Stansted
06L 24R 058 238 N052.05.21.460 E000.07.27.070 N052.05.36.570 E000.08.06.360 EGSU Duxford
06R 24L 058 238 N052.05.13.470 E000.07.21.160 N052.05.36.610 E000.08.21.340 EGSU Duxford
07 25 074 254 N051.24.10.540 W003.26.43.160 N051.24.27.190 W003.25.15.810 EGSY St Athan
06 24 062 242 N051.36.36.820 W000.48.46.370 N051.36.47.750 W000.48.12.740 EGTB Wycombe Air Park/Booker
06G 24G 062 242 N051.36.35.740 W000.48.40.070 N051.36.45.200 W000.48.10.960 EGTB Wycombe Air Park/Booker
35 01 348 168 N051.36.25.690 W000.48.23.840 N051.36.47.827 W000.48.32.323 EGTB Wycombe Air Park/Booker
03 21 032 212 N052.04.00.470 W000.37.19.280 N052.04.44.320 W000.36.35.270 EGTC Cranfield
08 26 077 257 N050.43.55.430 W003.25.40.820 N050.44.11.240 W003.23.59.980 EGTE Exeter
06 24 057 237 N051.20.46.850 W000.33.46.800 N051.20.59.670 W000.33.14.160 EGTF Fairoaks
01 19 011 191 N051.49.52.100 W001.19.18.220 N051.50.34.050 W001.19.05.450 EGTK Oxford
06 24 057 237 N052.24.08.840 E000.32.39.730 N052.24.58.860 E000.34.39.560 EGUL Lakenheath
11 29 105 285 N052.21.53.390 E000.27.58.780 N052.21.32.510 E000.30.23.330 EGUN Mildenhall
09 27 089 269 N051.40.58.970 W001.48.43.150 N051.41.02.340 W001.46.04.820 EGVA Fairford
07 25 074 254 N051.44.45.930 W001.36.14.810 N051.45.13.950 W001.33.42.380 EGVN Brize Norton
09 27 091 271 N051.14.04.430 W000.57.21.139 N051.14.01.721 W000.55.46.607 EGVO Odiham
07 25 070 250 N051.33.01.420 W000.25.47.030 N051.33.19.160 W000.24.29.530 EGWU Northolt
07 25 072 252 N053.05.21.620 W000.11.08.120 N053.05.49.170 W000.08.47.930 EGXC Coningsby
16 34 157 337 N054.18.06.910 W001.32.33.430 N054.16.59.290 W001.31.41.420 EGXE Leeming
01 19 009 189 N053.01.15.790 W000.29.07.530 N053.02.02.600 W000.28.56.350 EGYD Cranwell
08 26 083 263 N053.01.43.430 W000.30.20.570 N053.01.50.930 W000.28.43.440 EGYD Cranwell
01 19 009 189 N052.38.20.470 E000.33.20.500 N052.39.17.990 E000.33.34.760 EGYM Marham
06 24 056 236 N052.38.28.340 E000.32.00.660 N052.39.19.430 E000.34.02.580 EGYM Marham
